symbol,date,name
RCL,2025-04-23,Royal Caribbean Cruises Ltd
UTMD,2025-04-23,Utah Medical Products
HOUS,2025-04-23,
ADT,2025-04-23,Adt Corporation Common Stock W
ROKU,2025-04-23,
ALEX,2025-04-23,Alexander And Baldwin Inc
RHI,2025-04-23,Robert Half International Inc.
TSLA,2025-04-23,Tesla Motors
OLN,2025-04-23,Olin Corp.
KEX,2025-04-23,Kirby Corp.
SNAP,2025-04-23,
OPRA,2025-04-23,
HON,2025-04-23,Honeywell International Inc.
ALSN,2025-04-23,Allison Transmission Holdings
MOFG,2025-04-23,Midwestone Financial Group
FIX,2025-04-23,Comfort Systems USA
AMAL,2025-04-23,
ITGR,2025-04-23,
UNXP,2025-04-23,
ABCB,2025-04-23,Ameris Bancorp
RMD,2025-04-23,Resmed Inc.
GRC,2025-04-23,
AAL,2025-04-23,
EMN,2025-04-23,Eastman Chemical Company
SAGE,2025-04-23,
BY,2025-04-23,
MSFT,2025-04-23,Microsoft Corp.
UVE,2025-04-23,
FICO,2025-04-23,Fair Isaac And Company Inc.
NWE,2025-04-23,Northwestern Corp.
ESQ,2025-04-23,
MHK,2025-04-23,Mohawk Industries
NBRI,2025-04-23,
AVB,2025-04-23,Avalonbay Communities
SPGI,2025-04-23,
PPBN,2025-04-23,
IMAX,2025-04-23,Imax Corp.
CNOB,2025-04-23,Connectone Bancorp Inc.
KNSL,2025-04-23,
HTZ,2025-04-23,Hertz Global Holdings Inc
HCSG,2025-04-23,Healthcare Services Group
WTBA,2025-04-23,West Bancorporation
FISI,2025-04-23,Financial Institutions
TSCO,2025-04-23,Tractor Supply Company
CAT,2025-04-23,Caterpillar
SPSC,2025-04-23,Sps Commerce
SSB,2025-04-23,
GWW,2025-04-23,W.W. Grainger
HUBG,2025-04-23,Hub Group
HOG,2025-04-23,Harley-Davidson
NLST,2025-04-23,Netlist
FCNCA,2025-04-23,First Citizens Bancshares
RBKB,2025-04-23,
AB,2025-04-23,Alliance Capital Management L.P.
LADR,2025-04-23,
SBSI,2025-04-23,Southside Bancshares
PTCT,2025-04-23,Ptc Therapeutics Inc.
RRBI,2025-04-23,
BFH,2025-04-23,
DOV,2025-04-23,Dover Corp.
WKC,2025-04-23,
RJF,2025-04-23,Raymond James Financial
MBLY,2025-04-23,
FAF,2025-04-23,First American Corp.
ORC,2025-04-23,
LYTS,2025-04-23,Lsi Industries Inc.
AJG,2025-04-23,Arthur J. Gallagher & Co.
PVBK,2025-04-23,
FBIZ,2025-04-23,First Business Financial Services
AOS,2025-04-23,Smith [A.O.] Corp.
HCBC,2025-04-23,
LAZ,2025-04-23,Lazard Ltd
BC,2025-04-23,
ACNB,2025-04-23,Acnb Corp.
FLIC,2025-04-23,The First Of Long Island Corp.
DXCM,2025-04-23,Dexcom
ABG,2025-04-23,
OSK,2025-04-23,Oshkosh Truck Corp.
LUV,2025-04-23,Southwest Airlines Company
NEM,2025-04-23,Newmont Mining Corp.
TPH,2025-04-23,Tri Pointe Homes Inc. Common S
PVBC,2025-04-23,
EME,2025-04-23,Emcor Group
ATOM,2025-04-23,
EW,2025-04-23,Edwards Lifesciences Corp.
EIG,2025-04-23,Employers Holdings Inc
NOC,2025-04-23,Northrop Grumman Corp.
STRA,2025-04-23,Strayer Education
FRSB,2025-04-23,
UXIN,2025-04-23,
USCB,2025-04-23,
SHYF,2025-04-23,
PECO,2025-04-23,
FCN,2025-04-23,Fti Consulting
NECB,2025-04-23,Northeast Community Bancorp
FRST,2025-04-23,
ACCD,2025-04-23,
BFST,2025-04-23,
CNX,2025-04-23,Consol Energy Inc.
FHI,2025-04-23,
ARR,2025-04-23,Armour Residential R
CBZ,2025-04-23,Cbiz
OPBK,2025-04-23,
CINF,2025-04-23,Cincinnati Financial Corp.
GLPI,2025-04-23,
CZFS,2025-04-23,
COF,2025-04-23,Capital One Financial Corp.
CWST,2025-04-23,Casella Waste Systems
MTX,2025-04-23,Minerals Technologies Inc.
DOC,2025-04-23,Physicians Realty Trust
BORT,2025-04-23,
GTX,2025-04-23,
KLAC,2025-04-23,Kla-Tencor Corp.
VRSN,2025-04-23,Verisign
AIT,2025-04-23,Applied Industrial Technologies
SSNC,2025-04-23,SS&C Technologies Holdings
OSIS,2025-04-23,Osi Systems
KDP,2025-04-23,
ULH,2025-04-23,
IBCP,2025-04-23,Independent Bank Corp.
DGICA,2025-04-23,Donegal Group
MPX,2025-04-23,Marine Products Corp.
CHKP,2025-04-23,Check Point Software Technologies Ltd
HZO,2025-04-23,Marinemax
TAL,2025-04-23,Tal International Group
SKYW,2025-04-23,Skywest
VC,2025-04-23,Visteon Corp.
SEI,2025-04-23,
GILD,2025-04-23,Gilead Sciences
BELFA,2025-04-23,Bel Fuse Inc.
CARR,2025-04-23,
HES,2025-04-23,Hess Corp.
CWT,2025-04-23,California Water Service Group Holding
TCBK,2025-04-23,Trico Bancshares
NRDS,2025-04-23,
OVBC,2025-04-23,Ohio Valley Banc
ALLE,2025-04-23,
PFG,2025-04-23,Principal Financial Group Inc
HONE,2025-04-23,
CMS,2025-04-23,Cms Energy Corp.
PHIN,2025-04-23,
CDP,2025-04-23,
MSBI,2025-04-23,
FTAI,2025-04-23,
CFR,2025-04-23,Cullen/Frost Bankers
ORI,2025-04-23,Old Republic International Corp.
FSRL,2025-04-23,
INTC,2025-04-23,Intel Corp.
SCCO,2025-04-23,Southern Peru Copper Corp.
EBC,2025-04-23,
R,2025-04-23,Ryder System
LECO,2025-04-23,Lincoln Electric Holdings
TMUS,2025-04-23,T-Mobile US Inc.
UBSI,2025-04-23,United Bankshares
TBBK,2025-04-23,The Bancorp
FRME,2025-04-23,First Merchants Corp.
ERIE,2025-04-23,Erie Indemnity Company
SBCF,2025-04-23,Seacoast Banking Corporation Of Florida
TR,2025-04-22,Tootsie Roll Industries
PRG,2025-04-22,
VRE,2025-04-22,
IPG,2025-04-22,Interpublic Group Of Companies
UHT,2025-04-22,Universal Health Realty Income Trust
ATNI,2025-04-22,Atlantic Tele-Network
PFBX,2025-04-22,Peoples Financial Corp.
HAS,2025-04-22,Hasbro
FBNC,2025-04-22,First Bancorp
FTV,2025-04-22,
ASGN,2025-04-22,On Assignment
CVLG,2025-04-22,
GSHD,2025-04-22,
CHX,2025-04-22,
SOMC,2025-04-22,
VKTX,2025-04-22,
ORLY,2025-04-22,O'Reilly Automotive
EHC,2025-04-22,
VIRT,2025-04-22,
UVSP,2025-04-22,Univest Corporation Of Pennsylvania
NRIM,2025-04-22,Northrim Bancorp Inc
QS,2025-04-22,
CNMD,2025-04-22,Conmed Corp.
EWBC,2025-04-22,East West Bancorp
HLX,2025-04-22,Helix Energy Solutions Group
JOE,2025-04-22,St. Joe Company
CASH,2025-04-22,Meta Financial Group
BOKF,2025-04-22,Bok Financial Corp.
ESSA,2025-04-22,Essa Bancorp
FUSB,2025-04-22,
AMTB,2025-04-22,
CSTM,2025-04-22,Constellium N.V.
PPBI,2025-04-22,Pacific Premier Bancorp Inc
IRT,2025-04-22,
ALRS,2025-04-22,
SNBR,2025-04-22,
CMG,2025-04-22,Chipotle Mexican Grill
BMRN,2025-04-22,Biomarin Pharmaceutical Inc.
NSC,2025-04-22,Norfolk Souther Corp.
ETD,2025-04-22,
NAVI,2025-04-22,
EPRT,2025-04-22,
SYF,2025-04-22,
ROL,2025-04-22,Rollins
RBBN,2025-04-22,
HWBK,2025-04-22,Hawthorn Bancshares
WH,2025-04-22,
MAS,2025-04-22,Masco Corp.
HP,2025-04-22,Helmerich & Payne
BA,2025-04-22,
OII,2025-04-22,Oceaneering International
NLY,2025-04-22,Annaly Capital Management Inc
NOW,2025-04-22,Servicenow Inc.
PI,2025-04-22,
AR,2025-04-22,
ODFL,2025-04-22,Old Dominion Freight Line
CACI,2025-04-22,Caci International
RGBP,2025-04-22,
MPB,2025-04-22,Mid Penn Bancorp
SLBK,2025-04-22,
BIIB,2025-04-22,Biogen Idec Inc
SBT,2025-04-22,
PEGA,2025-04-22,Pegasystems Inc.
INBK,2025-04-22,First Internet Bancorp
JUVF,2025-04-22,
GPI,2025-04-22,Group 1 Automotive
AMSF,2025-04-22,Amerisafe
GGG,2025-04-22,Graco Inc.
CVBF,2025-04-22,Cvb Financial Corp.
MORN,2025-04-22,Morningstar
MOH,2025-04-22,Molina Healthcare Inc
BSX,2025-04-22,Boston Scientific Corp.
PMT,2025-04-22,Pennymac Mortgage Investment Trust
CBAN,2025-04-22,Colony Bankcorp
FOTB,2025-04-22,
AAPI,2025-04-22,
LRCX,2025-04-22,Lam Research Corp.
AMED,2025-04-22,Amedisys Inc
KTHN,2025-04-22,
ETR,2025-04-22,Entergy Corp.
SLAB,2025-04-22,Silicon Laboratories
MTH,2025-04-22,Meritage Corp.
SFNC,2025-04-22,Simmons First National Corp.
CCNB,2025-04-22,
NBR,2025-04-22,Nabors Industries
ESRT,2025-04-22,
APH,2025-04-22,Amphenol Corp.
LSTR,2025-04-22,Landstar System
AUBN,2025-04-22,Auburn National Bancorporation
JAKK,2025-04-22,Jakks Pacific
DAR,2025-04-22,Darling International Inc.
LOB,2025-04-22,
FFWC,2025-04-22,
META,2025-04-22,
COFS,2025-04-22,
CME,2025-04-22,Cme Group Inc.
EDU,2025-04-22,New Oriental Education & Technology
PB,2025-04-22,Prosperity Bancshares
ICLR,2025-04-22,Icon Plc
BG,2025-04-22,Bunge Limited
CFFN,2025-04-22,Capitol Federal Financial
KNX,2025-04-22,Knight Transportation
PFSI,2025-04-22,Pennymac Financial Services In
HUM,2025-04-22,Humana Inc.
F,2025-04-22,Ford Motor Company
EDVR,2025-04-22,
OBK,2025-04-22,
COOP,2025-04-22,
CVAC,2025-04-22,
FMBH,2025-04-22,
MAMA,2025-04-22,
BWFG,2025-04-22,
NFBK,2025-04-22,Northfield Bancorp
VRT,2025-04-22,
AM,2025-04-22,American Greetings Corp.
CHDN,2025-04-22,Churchill Downs Inc.
NTRS,2025-04-22,Northern Trust Corp.
OTIS,2025-04-22,
BWB,2025-04-22,
HLT,2025-04-22,
HBNC,2025-04-22,Horizon Bancorp [In]
FNWD,2025-04-22,
CDMO,2025-04-22,
TZOO,2025-04-22,Travelzoo Inc
CPF,2025-04-22,Cpb Inc.
CYH,2025-04-22,Community Health Systems
CHE,2025-04-22,Chemed
LII,2025-04-22,Lennox International
MSB,2025-04-22,Mesabi Trust
TOWN,2025-04-22,Towne Bank
EVR,2025-04-22,Evercore Partners Inc
ORN,2025-04-22,Orion Marine Group Inc
SYBT,2025-04-22,S.Y. Bancorp
TCBX,2025-04-22,
KALU,2025-04-22,Kaiser Aluminum Corp.
NEU,2025-04-22,Newmarket Corp.
MHO,2025-04-22,M/I Homes
BRKL,2025-04-22,Brookline Bancorp
FDBC,2025-04-22,
MXL,2025-04-22,Maxlinear Inc
MCBK,2025-04-22,Madison County Financial Inc.
FMNB,2025-04-22,Farmers Natl Banc Corp Oh
IBM,2025-04-22,International Business Machines Corp.
MC,2025-04-22,
BXMT,2025-04-22,Blackstone Mortgage Trust Inc. CI A
UCB,2025-04-22,
PEO,2025-04-22,Petroleum Resources Corp.
FSBW,2025-04-22,Fs Bancorp Inc.
OC,2025-04-22,Owens Corning Inc
CCS,2025-04-22,
PLXS,2025-04-22,Plexus
GD,2025-04-22,General Dynamics Corp.
AVY,2025-04-22,Avery Dennison Corp.
BOH,2025-04-21,Bank Of Hawaii Corp.
DX,2025-04-21,Dynex Capital
CSBB,2025-04-21,
CADE,2025-04-21,
WASH,2025-04-21,Washington Trust Bancorp
KMB,2025-04-21,Kimberly-Clark Corp.
CBU,2025-04-21,Communitiy Bank System
PEP,2025-04-21,Pepsico
LSBK,2025-04-21,Lake Shore Bancorp
WSBC,2025-04-21,Wesbanco
RUSHA,2025-04-21,Rush Enterprises
PHM,2025-04-21,Pultegroup
NWBI,2025-04-21,Northwest Bancshares
PKG,2025-04-21,Packaging Corporation Of America
FRBA,2025-04-21,
HAFC,2025-04-21,Hanmi Financial Corp.
BSRR,2025-04-21,Sierra Bancorp
STBI,2025-04-21,
BKR,2025-04-21,
PEB,2025-04-21,Pebblebrook Hotel Trust
WNEB,2025-04-21,
QCRH,2025-04-21,Qcr Holdings
HBT,2025-04-21,
PNFP,2025-04-21,Pinnacle Financial Partners
TSBK,2025-04-21,Timberland Bancorp
EQT,2025-04-21,Eqt Corp.
WAFD,2025-04-21,Washington Federal
FUNC,2025-04-21,First United Corp.
HSTM,2025-04-21,Healthstream
LRN,2025-04-21,K12 Inc
SPCB,2025-04-21,
BOID,2025-04-21,
NEE,2025-04-21,Nextera Energy
CALX,2025-04-21,Calix Inc
NTB,2025-04-21,
LOAN,2025-04-21,Manhattan Bridge Capital Inc
MCBI,2025-04-21,Metrocorp Bancshares
MAT,2025-04-21,Mattel
FCF,2025-04-21,First Commonwealth Financial Corp.
EFSC,2025-04-21,Enterprise Financial Services Corp.
EBF,2025-04-21,Ennis
RBB,2025-04-21,
PEBK,2025-04-21,Peoples Bancorp Of North Carolina
MEDP,2025-04-21,
FBP,2025-04-21,First Bancorp.
RNST,2025-04-21,Renasant Corp.
FRAF,2025-04-21,
HSTA,2025-04-21,
ORRF,2025-04-21,Orrstown Financial Services Inc
KISB,2025-04-21,
IEX,2025-04-21,Idex Corp.
WFRD,2025-04-21,
BPOP,2025-04-21,Popular
GE,2025-04-21,General Electric Company
TRST,2025-04-21,Trustco Bank Corp NY
ENPH,2025-04-21,Enphase Energy Inc.
CB,2025-04-21,Chubb Corp.
AEYE,2025-04-21,
CDNS,2025-04-21,Cadence Design Systems
LU,2025-04-21,
EBMT,2025-04-21,Eagle Bancorp Montana
KSBI,2025-04-21,
PSBQ,2025-04-21,
JBLU,2025-04-21,Jetblue Airways Corp.
MNSB,2025-04-21,
ZION,2025-04-21,Zions Bancorporation
CBIH,2025-04-21,
ZWS,2025-04-21,
PFC,2025-04-21,
GORO,2025-04-21,
BURCA,2025-04-21,
HAL,2025-04-21,Halliburton Company
NEP,2025-04-21,
NVR,2025-04-21,Nvr
PVSP,2025-04-21,
KREF,2025-04-21,
AMP,2025-04-21,Ameriprise Financial Services
FFIC,2025-04-21,Flushing Financial Corp.
DCOM,2025-04-21,Dime Community Bancshares
QNBC,2025-04-21,
MANH,2025-04-21,Manhattan Associates
FFMH,2025-04-21,
CSGP,2025-04-21,Costar Group
DGX,2025-04-21,Quest Diagnostics Inc.
EGP,2025-04-21,Eastgroup Properties
GCBC,2025-04-21,Greene County Bancorp
BUSE,2025-04-21,First Busey Corp.
FINN,2025-04-21,
FI,2025-04-21,Frank's International N.V.
GTI,2025-04-21,Graftech International Ltd
RCFAF,2025-04-21,
ASPS,2025-04-21,Altisource Portfolio Solutions S.A.
LMT,2025-04-21,Lockheed Martin Corp.
LKQ,2025-04-21,Lkq Corp.
MLI,2025-04-21,Mueller Industries
SFBS,2025-04-21,
OPCH,2025-04-21,
VBTX,2025-04-21,
BRO,2025-04-21,Brown & Brown
HTLD,2025-04-21,Heartland Express
ROIC,2025-04-21,Retail Opportunity Investments
CCFN,2025-04-21,
ARE,2025-04-21,Alexandria Real Estate Equities
MTDR,2025-04-21,Matador Resources Company
ELS,2025-04-21,Equity Lifestyle Properties
ADC,2025-04-21,Agree Realty Corp.
NBTB,2025-04-21,Nbt Bancorp Inc.
VICR,2025-04-21,Vicor Corp.
HIW,2025-04-21,Highwoods Properties
ONB,2025-04-21,Old National Bancorp Capital
STX,2025-04-21,Seagate Technology.
AGNC,2025-04-21,American Capital Agency
EQR,2025-04-21,Equity Residential
MSVB,2025-04-21,
VLTO,2025-04-21,
PII,2025-04-21,Polaris Industries Inc.
SMBK,2025-04-21,
VABK,2025-04-21,
MSCI,2025-04-21,MSCI Inc
CATY,2025-04-21,Cathay General Bancorp
VERF,2025-04-21,
RRC,2025-04-21,Range Resources Corp.
HXL,2025-04-21,Hexcel Corp.
CMTV,2025-04-21,
APAM,2025-04-21,Artisan Partners Asset Manageme
CCBG,2025-04-21,Capital City Bank Group
PEBO,2025-04-21,Peoples Bancorp Inc.
FSI,2025-04-21,
TRMK,2025-04-21,Trustmark Corp.
SCNX,2025-04-21,
NANX,2025-04-21,
IVZ,2025-04-21,Invesco Plc
ENVA,2025-04-21,
KSPI,2025-04-21,
PFBC,2025-04-21,Preferred Bank
SIFY,2025-04-21,Sify Technologies Limited
PGC,2025-04-21,Peapack-Gladstone Financial Corp.
GFOO,2025-04-19,
MCBS,2025-04-18,
BOTJ,2025-04-18,Bank Of The Jame Fnl
CLF,2025-04-18,Cliffs Natual Resources Inc.
PCB,2025-04-18,
PRK,2025-04-18,
AZZ,2025-04-18,Azz Inc.
ATLO,2025-04-18,Ames National Corp.
OVLY,2025-04-18,Oak Valley Bancorp [Ca]
FMBL,2025-04-18,
CCBC,2025-04-18,
SLB,2025-04-18,Schlumberger N.V.
HCA,2025-04-18,Hca Holdings Inc. Common Stock
NWFL,2025-04-18,Norwood Financial
CIBH,2025-04-18,
ACU,2025-04-18,
CMA,2025-04-18,Comerica Inc.
PBAM,2025-04-18,
BANC,2025-04-17,First Pactrust Bancorp
NUE,2025-04-17,Nucor Corp.
HRI,2025-04-17,
TFC,2025-04-17,
STBA,2025-04-17,S&T Bancorp
HTH,2025-04-17,Hilltop Holdings Inc.
SRCE,2025-04-17,1St Source Corp.
CASS,2025-04-17,Cass Information Systems Inc
FITB,2025-04-17,Fifth Third Bancorp
MMC,2025-04-17,Marsh & Mclennan Companies
UBOH,2025-04-17,United Bancshares
PNR,2025-04-17,Pentair
FVCB,2025-04-17,
WABC,2025-04-17,Westamerica Bancorporation
FFBC,2025-04-17,First Financial Bancorp.
MCB,2025-04-17,
